,Title,Published_date,Views,Likes,Favorites,Comments,Month
0,So You Think You Can ANALYZE? (Data Content Creator Hackathon),2024-09-21,39262,1426,0,96,Sep
1,Moving On,2024-04-22,10749,469,0,91,Apr
2,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,3520,82,0,25,Nov
3,A Data Dream Come True,2023-11-17,2484,95,0,23,Nov
4,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6462,421,0,77,Sep
5,How to Survive a Down Data Job Market,2023-09-05,17743,592,0,63,Sep
6,The Harsh Reality of the Data Job Market,2023-08-24,108974,2619,0,289,Aug
7,7 Industries AI will Aggressively Disrupt,2023-08-14,6675,252,0,42,Aug
8,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4579,135,0,48,Aug
9,7 Enticing Jobs AI Will Create,2023-07-24,4886,200,0,37,Jul
10,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4246,146,0,31,Jul
11,Exciting Announcement!,2023-06-23,6709,297,0,50,Jun
12,AI: A Customer Service Revolution?,2023-05-26,4068,125,0,35,May
13,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,61763,1931,0,62,May
14,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,36094,1491,0,77,May
15,This AI question will determine our future,2023-04-06,4345,261,0,38,Apr
16,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71580,834,0,78,Apr
17,Your current portfolio is actually hurting you #shorts,2023-03-30,9210,522,0,7,Mar
18,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,8086,437,0,3,Mar
19,you're job searching wrong. #shorts,2023-03-23,4596,271,0,3,Mar
20,The Economics of Data Roles #shorts,2023-03-21,10749,640,0,13,Mar
21,Why your phone knows everything you say #shorts,2023-03-18,3817,178,0,8,Mar
22,Read these for a successful career. #shorts,2023-03-16,3295,255,0,2,Mar
23,Is Your Phone Actually Listening to You? #shorts,2023-03-09,3177,57,0,5,Mar
24,How I Realized I Was a Bad Manager #shorts,2023-03-07,3178,144,0,1,Mar
25,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,21008,776,0,49,Mar
26,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8985,287,0,13,Mar
27,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2870,173,0,2,Feb
28,Learning On the companies dime #shorts,2023-02-24,3288,178,0,1,Feb
